"segment"	"thesis"	"first_page"	"last_page"	"pages"	"title"	"summary"	"theatre_logline"	"theatre_cast"	"theatre_setting"	"theatre_action"	"thesis_number"	"thesis_topic"	"duration_pages"
"28"	"2"	"178"	"184"	"7"	"Ratsordnung und Disputation über Kirchengebote"	"Nach einer Ratsordnung zur Organisation der Disputation und einer Ermahnung durch Niklaus Manuel diskutieren die Parteien die zweite Schlussrede über die Geltung kirchlicher Satzungen. Der Beichtvater Allerius Grad argumentiert unter Berufung auf das Johannesevangelium, dass der Heilige Geist die Kirche leite und ihre Gebote daher wie Gottes Wort anzunehmen seien. Berchtold Haller erwidert, der Heilige Geist lehre nichts über die Schrift Hinausgehendes, weshalb allein das in Gottes Wort Gegründete für die Gläubigen verbindlich sei."	"Niclaus Christen, Berchtold Haller, Niklaus Manuel (Reformierte und katholische Theologen) ob und wieweit die kirche satzungen ohne schriftgrundlage erlassen darf: Ratsordnung und Disputation über Kirchengebote."	"Sänger von Zoffingen; Berner Prädikant; Berner Rat, Künstler"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"2"	"Ob und wieweit die Kirche Satzungen ohne Schriftgrundlage erlassen darf"	"7"
"29"	"2"	"185"	"189"	"5"	"Streit um kirchliche Satzungen und Schriftbegründung"	"Berchtold Haller und Martin Bucer fordern vom Beichtvater den Schriftbeweis für kirchliche Satzungen und betonen, dass die Gemeinschaft der Gläubigen keine gewissensbindenden Gebote ausserhalb des Wortes Gottes erlassen dürfe. Der Beichtvater hält dem entgegen, dass die vom Heiligen Geist geleitete Kirche nicht irren könne und darum befugt sei, Ordnungsregeln wie Fasten- und Speisegebote aufzustellen. Während Bucer solche Verbote unter Berufung auf den Timotheusbrief als teuflisch verwirft, beharrt der Beichtvater auf der unfehlbaren Autorität der wahren Kirche."	"Niclaus Christen, Berchtold Haller, Martin Bucer (Reformierte und katholische Theologen) ob und wieweit die kirche satzungen ohne schriftgrundlage erlassen darf: Streit um kirchliche Satzungen und Schriftbegründung."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Forderung spaltet die Verhandelnden."	"2"	"Ob und wieweit die Kirche Satzungen ohne Schriftgrundlage erlassen darf"	"5"
"30"	"2"	"190"	"199"	"10"	"Streit um kirchliche Speise- und Ehegebote"	"Martin Bucer wirft der katholischen Kirche vor, mit ihren Speise- und Eheverboten nach 1 Tim 4 teuflische Lehren zu vertreten und das Gewissen unzulässig zu binden. Der Beichtvater und Johannes Buchstab verteidigen die kirchlichen Fastengebote mit biblischen Vorbildern und argumentieren, Paulus habe antike Häresien gemeint, während die Kirche solche Übungen nur zur Zucht und Ordnung anordne. Während Bucer weiterhin jede Einschränkung der christlichen Freiheit als schriftwidrig ablehnt, beharrt der Beichtvater auf der kirchlichen Tradition und stellt seine Aussagen unter das Urteil einer ordentlichen Kirchenversammlung."	"Niclaus Christen, Martin Bucer (Reformierte und katholische Theologen) ob und wieweit die kirche satzungen ohne schriftgrundlage erlassen darf: Streit um kirchliche Speise- und Ehegebote."	"Sänger von Zoffingen; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 10 Seiten."	"2"	"Ob und wieweit die Kirche Satzungen ohne Schriftgrundlage erlassen darf"	"10"
"31"	"3"	"200"	"208"	"9"	"Debatte über die dritte Schlussrede und den Werkdienst"	"Berchtoldus Haller leitet die dritte Schlussrede ein und begründet anhand der Schrift, dass allein Christus die Erlösung vollbracht hat und menschliche Werke keinen Heilsverdienst begründen. Buchstab widerspricht dem und führt biblische Beispiele an, um darzulegen, dass gute Werke nach dem Empfang der Taufe verdienstlich und zur Versöhnung mit Gott nötig seien. Martin Bucer entgegnet ihm, dass der Mensch allein durch den Glauben aus Gnade gerechtfertigt wird und Gott in den Gläubigen lediglich sein eigenes Wirken belohnt."	"Niclaus Christen, Berchtold Haller, Martin Bucer (Reformierte und katholische Theologen) ob der mensch allein durch glauben oder auch durch werke gerechtfertigt wird: Debatte über die dritte Schlussrede und den Werkdienst."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"3"	"Ob der Mensch allein durch Glauben oder auch durch Werke gerechtfertigt wird"	"9"
"32"	"3"	"209"	"213"	"5"	"Debatte über Genugtuung und Erbsünde"	"Martin Bucer und Schulmeister Buchstab streiten darüber, ob der Glaube ein Werk sei und ob eigene Werke zur Genugtuung Christi beitragen können. Daraufhin fordern drei Bürger aus Appenzell von ihrem Pfarrer Theobald Huter einen Schriftbeleg für dessen Behauptung, Christus habe nur für die Erbsünde gelitten. Huter verteidigt seine Predigt und betont, dass die Gläubigen trotz Christi Erlösungstat den Geboten gehorchen und Gutes tun müssen."	"Johannes Buchstab, Berchtold Haller, Martin Bucer (Reformierte und katholische Theologen) ob der mensch allein durch glauben oder auch durch werke gerechtfertigt wird: Debatte über Genugtuung und Erbsünde."	"Katholische Seite; Berner Prädikant; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"3"	"Ob der Mensch allein durch Glauben oder auch durch Werke gerechtfertigt wird"	"5"
"33"	"3"	"214"	"221"	"8"	"Abschluss der dritten und Beginn der vierten Schlussrede"	"In der Debatte um die dritte These streiten Herr Poley, Theobald Hütter und Pfarrer Josephus Forrer über die Verdienstlichkeit guter Werke. Berchtold Haller beendet die Diskussion mit dem Verweis darauf, dass die Rechtfertigung allein aus Gottes Gnade durch Christus erfolge und äußerliche Werke keinen Heilsverdienst bewirken. Anschließend eröffnet Franz Kolb die vierte Schlussrede und bestreitet unter Berufung auf das Johannesevangelium die leibliche Gegenwart Christi im Abendmahl."	"Berchtold Haller, Franz Kolb, Martin Bucer (Die reformierte Seite) ob der mensch allein durch glauben oder auch durch werke gerechtfertigt wird: Abschluss der dritten und Beginn der vierten Schlussrede."	"Berner Prädikant; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 8 Seiten."	"3"	"Ob der Mensch allein durch Glauben oder auch durch Werke gerechtfertigt wird"	"8"
"34"	"4"	"222"	"223"	"2"	"Disputation über die vierte Schlussthese zum Abendmahl"	"Ein altgläubiger Redner wendet sich gegen die vierte Schlussthese und begründet die leibliche Gegenwart Christi im Abendmahl mit den Einsetzungsworten, Johannes 6 sowie Gottes Allmacht. Ulrich Zwingli entgegnet darauf, dass die Bibelstelle in Johannes 6 keineswegs das leibliche Essen des Fleisches Christi lehre. Vielmehr verweise Christus mit dem Brot auf den Glaubenstrost und das Leben, das der Menschheit durch seinen Opfertod am Kreuz zuteilwerde."	"Ulrich Zwingli (Die reformierte Seite) ob bilder und reliquien in der kirche zulässig sind: Disputation über die vierte Schlussthese zum Abendmahl."	"Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"2"
"35"	"4"	"224"	"232"	"9"	"Debatte über Johannes 6 und das Abendmahl"	"Der Pfarrer von St. Gallen argumentiert anhand von Johannes 6, dass Christus mit dem Brot sein leibliches Fleisch verheissen und dieses im Abendmahl als Speise eingesetzt habe. Zwingli widerspricht dieser Auslegung und betont, dass die Rede vom Brot des Lebens rein geistlich als Glaube und Vertrauen auf den Opfertod Christi verstanden werden müsse. Ein leiblicher Verzehr des Fleisches schenke kein ewiges Leben, da das Heil allein auf der Gnade Gottes und dem Glauben an Christus beruhe."	"Ulrich Zwingli (Die reformierte Seite) ob bilder und reliquien in der kirche zulässig sind: Debatte über Johannes 6 und das Abendmahl."	"Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"9"
"36"	"4"	"233"	"242"	"10"	"Debatte um Johannes 6: Sakrament oder geistliches Essen"	"Der Pfarrer von St. Gallen und Zwingli streiten darüber, ob das sechste Kapitel des Johannesevangeliums das leibliche Essen im Abendmahl ankündigt oder allein den Glauben an Christi Opfertod meint. Nachdem der Pfarrer von St. Gallen einlenkt, verteidigt Johannes Büchstab unter Berufung auf die Kirchenväter ein dreifaches Verständnis des Brotes und bezieht die Stelle auf die Eucharistie. Ökolampad weist diesen Rekurs auf kirchliche Autoritäten zurück und bekräftigt, dass Christus gemäss der Schrift allein geistlich durch den Glauben an seine Hingabe empfangen werde."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Debatte um Johannes 6: Sakrament oder geistliches Essen."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"10"
"37"	"4"	"243"	"245"	"3"	"Streit um Schriftbelege zur vierten Schlussrede"	"Nach kurzen Erwiderungen von Buchstab und Ökolampad bestreitet der Pfarrer von Appenzell Zwinglis Übersetzung zu Johannes 6 und bekennt die leibliche Gegenwart Christi im Sakrament, worauf Zwingli auf den griechischen Urtext verweist. Zur Behandlung der vierten Schlussrede verteidigt der Pfarrer von St. Gallen die Auffassung, dass Christi Leib und Blut leiblich und wesentlich im Abendmahl empfangen werden. Zur biblischen Begründung dieser Position führt er die Einsetzungsworte aus dem Matthäusevangelium sowie aus dem ersten Korintherbrief an."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Streit um Schriftbelege zur vierten Schlussrede."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"3"
"38"	"4"	"246"	"253"	"8"	"Disputation über das Wort «ist» im Abendmahl"	"Ökolampad argumentiert, dass die Einsetzungsworte des Abendmahls als figürliche Sakramentensprache verstanden werden müssen, da ein wörtliches Verständnis der Glaubensanalogie und Christi Himmelfahrt widerspreche. Der Pfarrer von St. Gallen beharrt demgegenüber auf den klaren Worten bei Matthäus und fordert eindeutige Schriftbelege für eine uneigentliche Auslegung. Schliesslich präzisiert der Pfarrer, dass das Brot nicht in die göttliche Natur verwandelt, sondern der Leib Christi durch göttliche Kraft im Brot ausgeteilt werde."	"Niclaus Christen (Die katholische Seite) ob bilder und reliquien in der kirche zulässig sind: Disputation über das Wort «ist» im Abendmahl."	"Sänger von Zoffingen"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"8"
"39"	"4"	"254"	"254"	"1"	"Pfarrer von St. Gallen antwortet Ökolampad"	"Der Pfarrer von St. Gallen nimmt Bezug auf eine vorangegangene Frage Ökolampads und stützt seine Argumentation zum Abendmahl auf 1. Korinther 10. Er erklärt, dass durch das Brot der Leib Christi vermittelt werde, und vergleicht diesen Vorgang mit der Sendung des Heiligen Geistes in Johannes 20 sowie dem Feuer im Eisen. Dabei betont er anhand verschiedener Vergleiche, dass das äußere Zeichen und das göttliche Wirken zugleich bestehen bleiben können."	"Die Verhandlungsführer ob bilder und reliquien in der kirche zulässig sind: Pfarrer von St. Gallen antwortet Ökolampad."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 1 Seite."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"1"
"40"	"4"	"255"	"256"	"2"	"Ökolampads Replik auf die Auslegung der Einsetzungsworte"	"Die altgläubige Partei beharrt zur vierten Schlussrede auf dem wörtlichen Sinn der Einsetzungsworte und verwirft ein rein figürliches Verständnis des Abendmahls. Ökolampad weist die sprachlichen Analogien von Herrn Benedict zurück und fordert stattdessen einen durch die Heilige Schrift begründeten natürlichen Schriftsinn ein. Zudem korrigiert er dessen Schriftzitate aus dem Korinther- und Johannesevangelium und betont, dass der Leib Christi allein geistlich im Glauben empfangen werde."	"Die Verhandlungsführer ob bilder und reliquien in der kirche zulässig sind: Ökolampads Replik auf die Auslegung der Einsetzungsworte."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 2 Seiten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"2"
"41"	"4"	"257"	"265"	"9"	"Debatte über Abendmahlsworte und rhetorische Figuren"	"Der Pfarrer von St. Gallen und Andreas Althamer verteidigen das Abendmahl als reale Austeilung von Leib und Blut Christi unter Berufung auf den ersten Korintherbrief. Ökolampad wirft dem St. Galler Pfarrer vor, seine Haltung bezüglich rhetorischer Tropen geändert zu haben, und bestreitet dessen Deutung von Johannes 20. Zwingli fordert stichhaltige Schriftbeweise für eine leibliche Gegenwart Christi im Brot, worauf der Pfarrer von St. Gallen auf den Einsetzungsworten und dem Protokoll beharrt."	"Ulrich Zwingli (Die reformierte Seite) ob bilder und reliquien in der kirche zulässig sind: Debatte über Abendmahlsworte und rhetorische Figuren."	"Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 9 Seiten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"9"
"42"	"4"	"266"	"268"	"3"	"Debatte über den Begriff Koinonia beim Abendmahl"	"Ein altgläubiger Sprecher fordert zunächst, die Einsetzungsworte des Abendmahls ohne scholastische Spitzfindigkeiten einfach zu verstehen. Ökolampad argumentiert anschliessend anhand des griechischen Begriffs Koinonia, dass dieser primär Gemeinschaft und Teilhabe am Leib Christi bedeute und nicht eine blosse Austeilung. Althamer hält dagegen, dass Koinonia an mehreren neutestamentlichen Stellen sehr wohl im Sinne einer Austeilung gebraucht werde."	"Niclaus Christen (Die katholische Seite) ob bilder und reliquien in der kirche zulässig sind: Debatte über den Begriff Koinonia beim Abendmahl."	"Sänger von Zoffingen"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 3 Seiten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"3"
"43"	"4"	"269"	"277"	"9"	"Debatte über 1 Kor 10 und das leibliche Essen"	"Ökolampad legt dar, dass der Begriff koinonia in 1 Kor 10 Gemeinschaft und nicht Austeilung bedeutet, und bestreitet damit eine leibliche Gegenwart Christi im Abendmahl. Im anschliessenden Wortwechsel fordert Zwingli den Pfarrer von St. Gallen vergeblich zu Schriftbelegen für ein leibliches Essen auf, worauf dieser an den Einsetzungsworten festhält, die genaue Seinsweise aber nicht weiter definieren will. Daraufhin vertieft Zwingli die Auslegung von 1 Kor 10 und argumentiert, dass Paulus das gemeinsame Mahl als Ausdruck der Verbundenheit der Gemeinde und nicht als physische Einverleibung Christi versteht."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Debatte über 1 Kor 10 und das leibliche Essen."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 9 Seiten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"9"
"44"	"4"	"278"	"284"	"7"	"Debatte über Passalamm-Typologie und geistliches Essen"	"Nach einer kurzen Kontroverse zwischen Andreas Alchamer und Zwingli über 1. Korinther 10 begründet der Pfarrer von St. Gallen die leibliche Gegenwart Christi im Abendmahl mit der alttestamentlichen Passalamm-Typologie. Ökolampad entgegnet, dass die alttestamentliche Figur im Glauben an das Kreuzesopfer erfüllt werde und eine unsichtbare leibliche Präsenz keine Erinnerung bewirken könne. Zwingli schliesst daran an und legt anhand des Hebräerbriefs und des Johannesevangeliums dar, dass das Essen Christi als geistliches Vertrauen zu verstehen sei."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Debatte über Passalamm-Typologie und geistliches Essen."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Schlagabtausch: Antwort und Gegenrede wechseln sich ab."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"7"
"45"	"4"	"285"	"289"	"5"	"Streit über das leibliche Essen und die Kraft der Worte"	"Der Pfarrer von St. Gallen verteidigt die Auffassung, dass Leib und Wort Christi im Abendmahl zugleich leiblich mit dem Mund und geistlich im Herzen empfangen werden und der Seele Trost spenden. Zwingli weist dies zurück und betont unter Berufung auf die Schrift, dass allein der göttliche Geist lebendig mache und ein leibliches Essen des Leibes Christi unmöglich sei. Ökolampad schaltet sich ein und legt dar, dass äußere Worte keine eigene Wirkmacht wie bei einer Zauberei besitzen, sondern lediglich auf das Innerliche hinweisen und erinnern."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Streit über das leibliche Essen und die Kraft der Worte."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"5"
"46"	"4"	"290"	"294"	"5"	"Debatte über die Wirksamkeit des äusseren Wortes"	"Der Pfarrer von St. Gallen verteidigt die Auffassung, dass Gott durch sein äusseres Wort als wirksames Werkzeug handle, sofern der Geist damit verbunden sei und der Mensch glaube. Zwingli widerspricht dem und betont anhand biblischer Beispiele, dass das äussere Wort aus sich heraus nichts bewirke, sondern lediglich den göttlichen Willen bezeuge. Beide Disputanten stützen ihre Positionen auf verschiedene Schriftstellen und verweisen für die abschliessende Beurteilung auf die Akten der Disputation."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Debatte über die Wirksamkeit des äusseren Wortes."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"5"
"47"	"4"	"295"	"304"	"10"	"Debatte über das äussere Wort und das Abendmahlsblut"	"Zwingli und der Pfarrer von St. Gallen debattieren über das Verhältnis von äusserem Wort, Glauben und göttlicher Wundermacht. Anschliessend begründet der Pfarrer von St. Gallen mit dem alttestamentlichen Bundesblut die reale Gegenwart des Blutes Christi im Abendmahlskelch. Ökolampad widerspricht dieser Auslegung und erklärt, Christus habe Wein zum dankbaren Gedächtnis an sein Kreuzesopfer ausgeteilt."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Debatte über das äussere Wort und das Abendmahlsblut."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"10"
"48"	"4"	"305"	"305"	"1"	"Das Blut Christi am Kreuz und die Natur des Abendmahls"	"Der Sprecher betont, dass die Vergebung der Sünden und der Trost des Gewissens allein auf dem am Kreuz vergossenen Blut Christi gründen und nicht auf einer leiblichen Gegenwart im Abendmahl. Unter Verweis auf mehrere Schriftstellen wird verdeutlicht, dass die Erlösung ausschliesslich durch den Opfertod Christi am Kreuz gewirkt worden ist. Folglich ist der Kelch des Abendmahls als ein Zeichen und eine dankbare Verkündigung dieses im Leiden Christi vollendeten Bundes zu verstehen."	"Die Verhandlungsführer ob bilder und reliquien in der kirche zulässig sind: Das Blut Christi am Kreuz und die Natur des Abendmahls."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 1 Seite."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"1"
"49"	"4"	"306"	"315"	"10"	"Debatte über die Kelchworte und das Neue Testament"	"Der Pfarrer von St. Gallen verteidigt das wörtliche Verständnis der Einsetzungsworte und betont, dass Christus den Jüngern sein wahres Blut gereicht habe. Ökolampad und Zwingli halten dem entgegen, dass der Trank nicht wesensmässig das Neue Testament, also die Vergebung der Sünden, sein könne, sondern figürlich als dessen Zeichen verstanden werden müsse. Während Zwingli diese Deutung zusätzlich durch den Vergleich mit dem alttestamentlichen Passalamm untermauert, beharrt der Pfarrer von St. Gallen auf seiner Position."	"Ulrich Zwingli (Die reformierte Seite) ob bilder und reliquien in der kirche zulässig sind: Debatte über die Kelchworte und das Neue Testament."	"Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"10"
"50"	"4"	"316"	"317"	"2"	"Debatte über 1 Kor 11 zur vierten Schlussrede"	"Zur vierten Schlussrede führt der Pfarrer von St. Gallen die Worte des Paulus aus 1 Korinther 11 an und argumentiert, dass das unwürdige Essen von Leib und Blut Christi eine reale Gegenwart voraussetze. Zwingli erwidert darauf, dass Paulus ausdrücklich von Brot und Trank spreche und nicht von einem leiblichen Verzehr des Fleisches Christi. Das würdige oder unwürdige Essen beziehe sich vielmehr auf das Hinzutreten im rechten Glauben an die Erlösungstat Christi."	"Ulrich Zwingli (Die reformierte Seite) ob bilder und reliquien in der kirche zulässig sind: Debatte über 1 Kor 11 zur vierten Schlussrede."	"Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"2"
"51"	"4"	"318"	"318"	"1"	"Auslegung des unwürdigen Essens beim Nachtmahl"	"Anhand des Beispiels einer Schändung des Berner Hoheitszeichens wird verdeutlicht, wie das Vergehen an einem Zeichen die dargestellte Instanz selbst trifft. Daran anknüpfend wird die paulinische Warnung vor dem unwürdigen Essen so ausgelegt, dass ein Mangel an rechtem Glauben den am Leib erlittenen Tod Christi missachtet und das Nachtmahl zu einer gewöhnlichen Speise herabsetzt. Zudem verweise die Stelle im Kontext der Korinther darauf, dass die gleichzeitige Teilnahme an heidnischen Götzenmählern die Kirche als Leib Christi verunehre."	"Die Verhandlungsführer ob bilder und reliquien in der kirche zulässig sind: Auslegung des unwürdigen Essens beim Nachtmahl."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 1 Seite."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"1"
"52"	"4"	"319"	"326"	"8"	"Debatte über das Abendmahl und Johannes 6"	"Der Pfarrer von St. Gallen argumentiert anhand biblischer Sprachgewohnheiten, dass die Bezeichnung als Brot die leibliche Gegenwart Christi im Abendmahl nicht ausschliesse. Zwingli legt ausführlich dar, dass nach Johannes 6 allein der Geist lebendig mache, Christi wahrer Leib im Himmel sei und die Einsetzungsworte als figuratives Gedächtniszeichen verstanden werden müssten. Daraufhin erwidert der Pfarrer von St. Gallen, dass die Stelle nicht gegen den leiblichen Genuss spreche, sondern sich lediglich gegen ein rein fleischliches, ungläubiges Urteil richte."	"Niclaus Christen (Die katholische Seite) ob bilder und reliquien in der kirche zulässig sind: Debatte über das Abendmahl und Johannes 6."	"Sänger von Zoffingen"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"8"
"53"	"4"	"327"	"329"	"3"	"Ökolampad und der Pfarrer von St. Gallen über Joh 6"	"Ökolampad erwidert auf einen Einwand von Herr Benedikt und legt anhand von Johannes 6 sowie des griechischen Bibeltextes dar, dass der Geist lebendig mache, während ein leibliches Essen des Fleisches Christi von Gott nicht verordnet und daher unnütz sei. Daraufhin übergeben sowohl der Pfarrer von St. Gallen als auch Ökolampad ihre jeweiligen Argumente dem Urteil der Leser und den Akten. Anschliessend wendet sich der Pfarrer von St. Gallen den Glaubensartikeln zu und betont, dass Christus bei der Einsetzung des Abendmahls vor seiner Himmelfahrt leiblich auf Erden anwesend gewesen sei."	"Die Verhandlungsführer ob bilder und reliquien in der kirche zulässig sind: Ökolampad und der Pfarrer von St. Gallen über Joh 6."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"3"
"54"	"4"	"330"	"330"	"1"	"Bucer zur leiblichen Gegenwart Christi im Abendmahl"	"Ein altgläubiger Disputant argumentiert mit Verweis auf Zwingli und biblische Wunderberichte für die übernatürliche Allmacht Christi, seinen Leib mitzuteilen. Martin Bucer hält dem unter Berufung auf die Glaubensartikel und den Apostel Paulus entgegen, dass der Leib Christi nicht leiblich im Brot gegessen werden könne. Zur Begründung legt Bucer dar, dass der Begriff des Himmels als das geistliche und herrliche Wesen der Gottheit verstanden werden müsse."	"Martin Bucer (Die reformierte Seite) ob bilder und reliquien in der kirche zulässig sind: Bucer zur leiblichen Gegenwart Christi im Abendmahl."	"Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"1"
"55"	"4"	"331"	"331"	"1"	"Argument gegen die leibliche Gegenwart im Abendmahl"	"Aus der Himmelfahrt Christi wird gefolgert, dass Christus seiner Menschheit nach nicht mehr leiblich auf Erden weilt, sondern bis zum Jüngsten Gericht zur Rechten Gottes bleibt. Folglich könne er auch im Sakrament des Abendmahls nicht leiblich im Brot gegenwärtig sein oder gegessen werden, sondern wirke allein durch seinen Geist. Auch beim Einsetzungsmahl habe Christus leibhaftig am Tisch gesessen und nicht zwei verschiedene Körper besessen, da seine menschliche Natur unvermischt mit der Gottheit bleibe."	"Die Verhandlungsführer ob bilder und reliquien in der kirche zulässig sind: Argument gegen die leibliche Gegenwart im Abendmahl."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 1 Seite."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"1"
"56"	"4"	"332"	"332"	"1"	"Debatte über die Natur des Leibes Christi"	"Ein Sprecher argumentiert, dass Christi Leib ein wahrer menschlicher Körper sei und deshalb nur an einem einzigen Ort zugleich existieren könne. Die Allgegenwart sei allein eine Eigenschaft der göttlichen Natur, weshalb die Verherrlichung des Leibes dessen menschliche Begrenztheit nicht aufhebe. Anschliessend verweist der Pfarrer von St. Gallen auf die schriftlich festgehaltene Antwort zum ersten Glaubensartikel und leitet zur Behandlung der weiteren Artikel über."	"Die Verhandlungsführer ob bilder und reliquien in der kirche zulässig sind: Debatte über die Natur des Leibes Christi."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"1"
